SignRight,256,0
Pad,320,0
Fence,192,0
SignDown,128,64
SignRight,128,512
Stockpile,192,192
SignUp,256,192
Hoard,256,128
SignDown,384,128
SignRight,384,512
SignUp,448,512
SignUp,448,384
Pad,448,448
Hoard,448,192
Hoard,448,64
GoldenTree,512,64
SignLeft,512,384
SignUp,192,512
Hoard,640,64
Fence,0,192
Tree,64,192
Tree,576,192
Tree,640,192
SignLeft,640,512
SignDown,448,0
Fence,960,192
SignLeft,896,0
Pad,896,128
SignDown,832,128
Gatherer,192,192
Gatherer,512,192
Thief,0,704
SignRight,0,256
SignDown,64,256
SignRight,64,640
SignUp,192,640
